actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
,mappo,,,,33.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2.653250703588128e-05,mappo,8.562632865505293e-05,0.781616747379303,0.0009897965988662888,34.0,,,,,,,,,,,,,,0.0,,,,,0.01194247417151928,0.006666666828095913
,mappo,,,,34.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.016524692997336388,mappo,1.873043402156327e-05,0.78339022397995,0.0009894964988329444,35.0,,,,,,,,,,,,,,0.0,,,,,0.011699724942445755,0.006666666828095913
,mappo,,,,35.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.001760157523676753,mappo,0.00022451586846727878,0.7796745896339417,0.0009891963987995998,36.0,,,,,,,,,,,,,,0.0,,,,,0.012878280133008957,0.006666666828095913
,mappo,,,,36.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006994364317506552,mappo,4.0746512240730226e-05,0.7780942916870117,0.0009888962987662554,37.0,,,,,,,,,,,,,,0.0,,,,,0.012744802981615067,0.0
,mappo,,,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0056419069878757,mappo,0.00014421402011066675,0.780552327632904,0.000988596198732911,38.0,,,,,,,,,,,,,,0.0,,,,,0.013167327269911766,0.006666666828095913
,mappo,,,,38.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0021492093801498413,mappo,4.338752114563249e-05,0.7724846601486206,0.0009882960986995666,39.0,,,,,,,,,,,,,,0.0,,,,,0.013226947747170925,0.006666666828095913
,mappo,,,,39.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.010523896664381027,mappo,2.0365081581985578e-05,0.7658547759056091,0.0009879959986662222,40.0,,,,,,,,,,,,,,0.0,,,,,0.012485653162002563,0.006666666828095913
